Route_UUID,Interface,Selected Networks,Gateway,Metric
005056A1-C63D-0ed3-0000-008590048418,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956725', 'name': 'obj-192.168.149.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048056,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957473', 'name': 'obj-10.6.18.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048024,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957461', 'name': 'obj-10.6.0.180'}]",obj-10.6.3.70,1
005056A1-C63D-0ed3-0000-008590048043,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956387', 'name': 'obj-10.6.3.57'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048074,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957604', 'name': 'obj-10.6.45.0'}]",obj-10.6.3.15,1
005056A1-C63D-0ed3-0000-008590048434,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958283', 'name': 'obj-192.168.168.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048419,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956726', 'name': 'obj-192.168.150.2'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048374,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958260', 'name': 'obj-192.168.73.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048096,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957626', 'name': 'obj-10.6.131.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048021,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957460', 'name': 'obj-10.6.0.132'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048415,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956722', 'name': 'obj-192.168.145.2'}]",obj-10.6.3.9,1
